recno,KOI,N,tn,O-C,e_O-C,f_O-C,TDV,e_TDV,f_TDV,TPV,e_TPV,f_TPV,Out,Over
51175,377.01,65,1328.501771,-290.4,1.6, ,0.026,0.015, ,-0.032,0.015, ,32,0
51176,377.01,67,1366.994344,-360.4,1.0, ,0.0092,0.0094, ,0.005,0.015, ,0,0
51177,377.01,68,1386.240631,-394.0,1.1, ,0.011,0.01, ,-0.019,0.015, ,0,0
51178,377.01,70,1424.733204,-465.1,1.1, ,0.0337,0.0099, ,0.008,0.015, ,0,0
51179,377.01,71,1443.97949,-498.6,0.99, ,-0.0077,0.0094, ,0.058,0.015, ,0,0
51180,377.01,72,1463.225777,-528.07,0.99, ,0.0196,0.0093, ,0.043,0.014, ,0,0
51181,377.01,73,1482.472063,-560.2,1.2, ,0.033,0.011, ,-0.027,0.015, ,0,0
51182,377.01,74,1501.71835,-593.0,1.1, ,0.027,0.01, ,-0.006,0.015, ,0,0
51183,377.01,75,1520.964636,-621.5,1.1, ,-0.007,0.011, ,0.002,0.016, ,0,0
51184,377.02,0,68.896213,591.1,1.2, ,0.032,0.011, ,0.014,0.015, ,0,0
51185,377.02,1,107.846022,699.7,1.2, ,0.043,0.011, ,0.031,0.015, ,0,0
51186,377.02,2,146.79583,778.8,1.1, ,0.022,0.01, ,0.039,0.015, ,0,0
51187,377.02,3,185.745639,817.0,1.2, ,0.053,0.011, ,0.012,0.015, ,0,0
51188,377.02,4,224.695447,817.9,1.2, ,0.012,0.011, ,-0.015,0.016, ,0,0
51189,377.02,5,263.645256,773.7,1.7, ,0.001,0.016, ,0.091,0.014, ,32,0
51190,377.02,6,302.595064,687.1,1.1, ,0.0418,0.0099, ,0.093,0.015, ,0,0
51191,377.02,7,341.544873,556.1,1.1, ,0.02,0.01, ,0.007,0.015, ,0,0
51192,377.02,8,380.494681,390.5,1.3, ,0.019,0.012, ,-0.077,0.017, ,0,0
51193,377.02,9,419.44449,192.3,1.2, ,0.016,0.011, ,-0.024,0.016, ,0,0
51194,377.02,10,458.394298,-23.5,1.2, ,0.04,0.011, ,-0.027,0.016, ,0,0
51195,377.02,11,497.344107,-251.1,1.2, ,-0.003,0.012, ,-0.006,0.016, ,0,0
51196,377.02,12,536.293915,-481.5,1.2, ,-0.01,0.012, ,-0.028,0.016, ,0,0
51197,377.02,13,575.243724,-705.3,1.2, ,0.021,0.011, ,-0.018,0.016, ,0,0
51198,377.02,14,614.193532,-908.3,1.1, ,-0.003,0.011, ,0.034,0.015, ,0,0
51199,377.02,16,692.093149,-1232.8,1.4, ,0.005,0.013, ,0.058,0.015, ,0,0
51200,377.02,17,731.042958,-1339.0,1.2, ,0.0,0.011, ,0.076,0.015, ,0,0
51201,377.02,18,769.992766,-1397.8,1.1, ,-0.022,0.011, ,0.017,0.015, ,0,0
51202,377.02,19,808.942575,-1409.3,1.2, ,0.007,0.011, ,-0.022,0.016, ,0,0
51203,377.02,20,847.892384,-1377.6,1.2, ,-0.008,0.011, ,-0.024,0.016, ,0,0
51204,377.02,21,886.842192,-1308.8,1.3, ,-0.088,0.012, ,-0.242,0.021, ,0,1
51205,377.02,22,925.792001,-1206.1,1.0, ,0.1057,0.0098, ,0.544,0.01, ,16,1
51206,377.02,23,964.741809,-1066.9,1.2, ,-0.011,0.011, ,-0.015,0.016, ,0,0
51207,377.02,25,1042.641426,-754.9,1.1, ,-0.022,0.011, ,0.049,0.015, ,0,0
51208,377.02,26,1081.591235,-585.4,1.1, ,-0.017,0.011, ,0.0,0.016, ,0,0
51209,377.02,27,1120.541043,-408.1,1.2, ,-0.005,0.011, ,0.009,0.015, ,0,0
51210,377.02,28,1159.490852,-228.5,1.2, ,-0.025,0.011, ,0.006,0.016, ,0,0
51211,377.02,29,1198.44066,-50.8,1.3, ,-0.024,0.013, ,-0.044,0.017, ,0,0
51212,377.02,30,1237.390469,128.0,1.3, ,0.03,0.012, ,0.009,0.015, ,0,0
51213,377.02,31,1276.340277,306.6,1.2, ,-0.017,0.011, ,-0.086,0.017, ,0,0
51214,377.02,32,1315.290086,482.0,1.3, ,-0.032,0.012, ,-0.123,0.018, ,0,0
51215,377.02,33,1354.239894,660.9,1.2, ,-0.034,0.012, ,0.002,0.016, ,0,0
51216,377.02,34,1393.189703,834.9,1.2, ,-0.007,0.012, ,0.057,0.015, ,0,0
51217,377.02,35,1432.139511,1001.9,1.2, ,-0.026,0.012, ,-0.009,0.016, ,0,0
51218,377.02,36,1471.08932,1172.9,1.2, ,-0.044,0.012, ,-0.001,0.016, ,0,0
51219,377.02,37,1510.039128,1329.4,1.2, ,-0.024,0.011, ,0.006,0.016, ,0,0

