KOI,Nt,T0,e_T0,Per,e_Per,Dur,Depth,SNR
377.01,71,77.493149,0.068479,19.24628649,7.638E-5,4.2897,6932,85.2
377.02,36,68.896213,0.206447,38.94980851,2.294E-4,4.5536,6138,84.3

